Julian Date,Radial Velocity (km/s)
41772.01,23.8
43113.24,15.7
43235.03,18.4
44007.97,16.1
44240.14,15.9
44728.97,18.6
45044.86,18.1
45817.94,18.5
46530.92,18.2
47233.04,18.8
47613.15,19.2
47937,19.3
48291.2,22
48385.91,21.3
48417.92,20.4
48609.19,22.3
48637.1,22.4
48735.03,22.7
48798.87,22.9
48976.2,23.4
49033.09,24.2
49069.06,23.7
49175.91,24
49348.16,25.3
49404.08,25.9
49474.91,25.6
49565.85,24.8
49698.19,25.9
49721.26,25
49872.92,26.3
50078.16,26.3
50172.97,25.6
50536.05,23.8
50570.92,24.2
50650.87,23.7
50934.97,21.8
51021.86,21.4
51270.37,20.4
51372.22,19.9
51532.24,18.3
51552.16,18.8
51585.17,18.9
51639.96,19.3
51689.93,18.4
51868.26,18.1
51916.21,18.4
51970.15,17.8
52034.01,17.5
52265.24,16.9
52312.09,16.6
52383.98,18.1
52429.93,16.8
52667.14,16.2
52714.06,16.3
52768.97,16.1
53021.21,16.6
53094.05,16.1
53147.93,16.4
53366.24,16.2
53498.97,16.7
53531.95,16.2
53836.01,16.5
53896.96,16.2
54220.94,16.9
54261.96,17
54564.03,17
54918.01,16.8
54981.93,16.7
55304,17.4
55369.93,17.3
